,driverId,raceId,round,circuitId,year,date,races_name,quali_position,grid,results_position,positionText,positionOrder,results_points,results_laps,statusId,status,fastestLap,rank,race_ms,results_fastestlaptime,fastestLapSpeed,dstnd_points,dstnd_position,wins,dob_formatted,nationality
316372,829,944.0,18.0,18.0,2015.0,2015-11-15,Brazilian Grand Prix,19,18.0,17,17,17.0,0,67.0,14.0,>+1 Laps,42,19,,01:19.1,196.116,0,21,0.0,1991,British
316437,829,945.0,19.0,24.0,2015.0,2015-11-29,Abu Dhabi Grand Prix,19,19.0,18,18,18.0,0,53.0,12.0,>+1 Laps,53,18,,01:49.6,182.414,0,21,0.0,1991,British
316454,830,932.0,7.0,7.0,2015.0,2015-06-07,Canadian Grand Prix,12,19.0,15,15,15.0,0,69.0,11.0,+1 Lap,50,11,,01:18.6,199.699,6,14,0.0,1997,Dutch
316498,830,933.0,8.0,70.0,2015.0,2015-06-21,Austrian Grand Prix,7,7.0,8,8,8.0,4,70.0,11.0,+1 Lap,64,9,,01:12.3,215.256,10,14,0.0,1997,Dutch
316520,830,934.0,9.0,9.0,2015.0,2015-07-05,British Grand Prix,13,13.0,,R,16.0,0,3.0,20.0,Accident,3,16,,02:20.8,150.647,10,14,0.0,1997,Dutch
316523,830,936.0,10.0,11.0,2015.0,2015-07-26,Hungarian Grand Prix,9,9.0,4,4,4.0,12,69.0,1.0,Finished,62,11,6414236,01:27.7,179.938,22,11,0.0,1997,Dutch
316527,830,938.0,12.0,14.0,2015.0,2015-09-06,Italian Grand Prix,20,20.0,12,12,12.0,0,52.0,11.0,+1 Lap,35,4,,01:27.4,238.64,26,12,0.0,1997,Dutch
316588,830,939.0,13.0,15.0,2015.0,2015-09-20,Singapore Grand Prix,8,8.0,8,8,8.0,4,61.0,1.0,Finished,43,4,7333568,01:50.3,165.315,30,11,0.0,1997,Dutch
316661,830,940.0,14.0,22.0,2015.0,2015-09-27,Japanese Grand Prix,15,17.0,9,9,9.0,2,53.0,1.0,Finished,32,7,5381823,01:38.2,212.803,32,12,0.0,1997,Dutch
316720,830,941.0,15.0,71.0,2015.0,2015-10-11,Russian Grand Prix,9,9.0,10,10,10.0,1,53.0,1.0,Finished,45,15,5919448,01:43.3,203.871,33,12,0.0,1997,Dutch
316773,830,942.0,16.0,69.0,2015.0,2015-10-25,United States Grand Prix,10,8.0,4,4,4.0,12,56.0,1.0,Finished,51,9,6675062,01:43.2,192.366,45,10,0.0,1997,Dutch
316838,830,943.0,17.0,32.0,2015.0,2015-11-01,Mexican Grand Prix,8,8.0,9,9,9.0,2,71.0,1.0,Finished,70,10,6190267,01:22.6,187.576,47,10,0.0,1997,Dutch
