,driverId,raceId,round,circuitId,year,date,races_name,quali_position,grid,results_position,positionText,positionOrder,results_points,results_laps,statusId,status,fastestLap,rank,race_ms,results_fastestlaptime,fastestLapSpeed,dstnd_points,dstnd_position,wins,dob_formatted,nationality
38684,4,881.0,2.0,2.0,2013.0,2013-03-24,Malaysian Grand Prix,3,3.0,,R,22.0,0,1.0,4.0,Accident,,0,,,,18,6,0.0,1981,Spanish
38685,4,882.0,3.0,17.0,2013.0,2013-04-14,Chinese Grand Prix,3,3.0,1,1,1.0,25,56.0,1.0,Finished,46,4,5786945,01:39.5,197.21,43,3,1.0,1981,Spanish
38741,4,883.0,4.0,3.0,2013.0,2013-04-21,Bahrain Grand Prix,3,3.0,8,8,8.0,4,57.0,1.0,Finished,41,3,5798072,01:37.2,200.436,47,4,1.0,1981,Spanish
38798,4,884.0,5.0,4.0,2013.0,2013-05-12,Spanish Grand Prix,5,5.0,1,1,1.0,25,66.0,1.0,Finished,53,5,5956596,01:26.7,193.329,72,3,2.0,1981,Spanish
38864,4,885.0,6.0,6.0,2013.0,2013-05-26,Monaco Grand Prix,6,6.0,7,7,7.0,6,78.0,1.0,Finished,77,12,8298790,01:19.3,151.55,78,3,2.0,1981,Spanish
38908,2,158.0,1.0,1.0,2000.0,2000-03-12,Australian Grand Prix,15,15.0,9,9,9.0,0,56.0,12.0,>+1 Laps,,,,,,0,9,0.0,1977,German
38962,4,886.0,7.0,7.0,2013.0,2013-06-09,Canadian Grand Prix,6,6.0,2,2,2.0,18,70.0,1.0,Finished,69,2,5543551,01:16.2,206.023,96,2,2.0,1981,Spanish
39017,4,890.0,10.0,11.0,2013.0,2013-07-28,Hungarian Grand Prix,5,5.0,5,5,5.0,10,70.0,1.0,Finished,56,8,6180856,01:25.4,184.692,133,3,2.0,1981,Spanish
39114,4,898.0,18.0,69.0,2013.0,2013-11-17,United States Grand Prix,6,6.0,5,5,5.0,10,56.0,1.0,Finished,52,10,5986740,01:41.2,196.141,227,2,2.0,1981,Spanish
39167,4,906.0,7.0,7.0,2014.0,2014-06-08,Canadian Grand Prix,7,7.0,6,6,6.0,8,70.0,1.0,Finished,64,3,5967699,01:18.6,199.704,69,4,0.0,1981,Spanish
39217,4,907.0,8.0,70.0,2014.0,2014-06-22,Austrian Grand Prix,4,4.0,5,5,5.0,10,71.0,1.0,Finished,58,5,5293529,01:12.6,214.527,79,4,0.0,1981,Spanish
39222,2,160.0,3.0,21.0,2000.0,2000-04-09,San Marino Grand Prix,22,22.0,,R,19.0,0,22.0,9.0,Mechanical,,,,,,0,19,0.0,1977,German
39340,4,908.0,9.0,9.0,2014.0,2014-07-06,British Grand Prix,19,16.0,6,6,6.0,8,52.0,1.0,Finished,52,8,8872040,01:38.6,215.115,87,4,0.0,1981,Spanish
39392,4,909.0,10.0,10.0,2014.0,2014-07-20,German Grand Prix,7,7.0,5,5,5.0,10,67.0,1.0,Finished,57,3,5675381,01:20.5,204.429,97,4,0.0,1981,Spanish
39415,2,161.0,4.0,9.0,2000.0,2000-04-23,British Grand Prix,17,17.0,,R,18.0,0,51.0,5.0,Mechanical,,,,,,0,19,0.0,1977,German
39427,4,910.0,11.0,11.0,2014.0,2014-07-27,Hungarian Grand Prix,5,5.0,2,2,2.0,18,70.0,1.0,Finished,40,5,6790283,01:27.4,180.413,115,4,0.0,1981,Spanish
39514,4,911.0,12.0,13.0,2014.0,2014-08-24,Belgian Grand Prix,4,4.0,7,7,7.0,6,44.0,1.0,Finished,29,11,5137718,01:53.9,221.413,121,4,0.0,1981,Spanish
39540,4,912.0,13.0,14.0,2014.0,2014-09-07,Italian Grand Prix,7,7.0,,R,21.0,0,28.0,5.0,Mechanical,23,16,,01:29.7,232.546,121,5,0.0,1981,Spanish
39577,4,913.0,14.0,15.0,2014.0,2014-09-21,Singapore Grand Prix,5,5.0,4,4,4.0,12,60.0,1.0,Finished,27,6,7220184,01:52.1,162.636,133,4,0.0,1981,Spanish
39605,4,914.0,15.0,22.0,2014.0,2014-10-05,Japanese Grand Prix,5,5.0,,R,22.0,0,2.0,40.0,Mechanical,,0,,,,133,5,0.0,1981,Spanish
39607,4,915.0,16.0,71.0,2014.0,2014-10-12,Russian Grand Prix,8,7.0,6,6,6.0,8,53.0,1.0,Finished,53,6,5570760,01:42.2,206.038,141,6,0.0,1981,Spanish
39668,4,917.0,18.0,18.0,2014.0,2014-11-09,Brazilian Grand Prix,8,8.0,6,6,6.0,8,71.0,1.0,Finished,55,10,5464461,01:14.3,208.744,157,5,0.0,1981,Spanish
39723,4,934.0,9.0,9.0,2015.0,2015-07-05,British Grand Prix,17,17.0,10,10,10.0,1,51.0,11.0,+1 Lap,30,12,,01:38.9,214.471,1,18,0.0,1981,Spanish
39756,4,937.0,11.0,13.0,2015.0,2015-08-23,Belgian Grand Prix,18,20.0,13,13,13.0,0,42.0,11.0,+1 Lap,34,5,,01:53.7,221.778,11,15,0.0,1981,Spanish
39764,2,173.0,16.0,22.0,2000.0,2000-10-08,Japanese Grand Prix,16,16.0,,R,18.0,0,41.0,22.0,Mechanical,,,,,,0,20,0.0,1977,German
39792,2,842.0,2.0,2.0,2011.0,2011-04-10,Malaysian Grand Prix,6,6.0,3,3,3.0,15,56.0,1.0,Finished,47,7,5884907,01:41.5,196.508,15,7,0.0,1977,German
39826,2,843.0,3.0,17.0,2011.0,2011-04-17,Chinese Grand Prix,16,16.0,12,12,12.0,0,56.0,1.0,Finished,51,16,5890965,01:42.4,191.625,15,8,0.0,1977,German
39882,2,844.0,4.0,5.0,2011.0,2011-05-08,Turkish Grand Prix,9,9.0,7,7,7.0,6,58.0,1.0,Finished,52,5,5478415,01:30.2,213.145,21,7,0.0,1977,German
39940,2,846.0,6.0,6.0,2011.0,2011-05-29,Monaco Grand Prix,16,15.0,8,8,8.0,4,77.0,11.0,+1 Lap,77,6,,01:17.9,154.436,29,6,0.0,1977,German
40071,2,848.0,8.0,12.0,2011.0,2011-06-26,European Grand Prix,9,9.0,10,10,10.0,1,56.0,11.0,+1 Lap,51,14,,01:43.9,187.759,30,9,0.0,1977,German
40127,2,849.0,9.0,9.0,2011.0,2011-07-10,British Grand Prix,16,16.0,8,8,8.0,4,52.0,1.0,Finished,37,14,5396738,01:37.1,218.371,34,8,0.0,1977,German
40164,3,5.0,5.0,4.0,2009.0,2009-05-10,Spanish Grand Prix,9,9.0,8,8,8.0,1,66.0,1.0,Finished,24,7,5904413,01:23.6,200.404,4.5,10,0.0,1985,German
40186,3,6.0,6.0,6.0,2009.0,2009-05-24,Monaco Grand Prix,6,6.0,6,6,6.0,3,78.0,1.0,Finished,48,9,6077868,01:15.8,158.686,7.5,11,0.0,1985,German
40264,3,7.0,7.0,5.0,2009.0,2009-06-07,Turkish Grand Prix,9,9.0,5,5,5.0,4,58.0,1.0,Finished,36,11,5216387,01:28.2,217.823,11.5,7,0.0,1985,German
40322,3,8.0,8.0,9.0,2009.0,2009-06-21,British Grand Prix,7,7.0,5,5,5.0,4,60.0,1.0,Finished,17,3,5015243,01:21.1,228.336,15.5,7,0.0,1985,German
40382,3,9.0,9.0,20.0,2009.0,2009-07-12,German Grand Prix,15,15.0,4,4,4.0,5,60.0,1.0,Finished,50,7,5824409,01:34.4,196.315,20.5,7,0.0,1985,German
40442,3,10.0,10.0,11.0,2009.0,2009-07-26,Hungarian Grand Prix,5,5.0,4,4,4.0,5,70.0,1.0,Finished,65,3,5930843,01:22.5,191.245,25.5,5,0.0,1985,German
40512,3,20.0,3.0,3.0,2008.0,2008-04-06,Bahrain Grand Prix,8,8.0,8,8,8.0,1,57.0,1.0,Finished,57,6,5522859,01:34.1,207.109,7,8,0.0,1985,German
40584,2,841.0,1.0,1.0,2011.0,2011-03-27,Australian Grand Prix,18,18.0,12,12,12.0,0,57.0,11.0,+1 Lap,43,15,,01:32.4,206.661,0,12,0.0,1977,German
40646,2,850.0,10.0,20.0,2011.0,2011-07-24,German Grand Prix,11,11.0,,R,24.0,0,9.0,4.0,Accident,7,18,,01:39.5,186.349,34,8,0.0,1977,German
40655,2,851.0,11.0,11.0,2011.0,2011-07-31,Hungarian Grand Prix,14,14.0,,R,23.0,0,23.0,42.0,Mechanical,19,23,,01:30.8,173.646,34,8,0.0,1977,German
40678,3,1.0,1.0,1.0,2009.0,2009-03-29,Australian Grand Prix,5,5.0,6,6,6.0,3,58.0,1.0,Finished,48,1,5661506,01:27.7,217.668,3,6,0.0,1985,German
40736,3,2.0,2.0,2.0,2009.0,2009-04-05,Malaysian Grand Prix,6,4.0,8,8,8.0,0.5,31.0,1.0,Finished,13,4,4323668,01:37.6,204.459,3.5,7,0.0,1985,German
40767,3,3.0,3.0,17.0,2009.0,2009-04-19,Chinese Grand Prix,7,7.0,15,15,15.0,0,55.0,11.0,+1 Lap,55,8,,01:54.2,171.77,3.5,11,0.0,1985,German
40822,3,4.0,4.0,3.0,2009.0,2009-04-26,Bahrain Grand Prix,9,9.0,9,9,9.0,0,57.0,1.0,Finished,37,15,5566380,01:35.8,203.339,3.5,11,0.0,1985,German
40944,3,21.0,4.0,4.0,2008.0,2008-04-27,Spanish Grand Prix,15,15.0,,R,14.0,0,41.0,5.0,Mechanical,20,13,,01:23.3,201.13,7,9,0.0,1985,German
40985,3,22.0,5.0,5.0,2008.0,2008-05-11,Turkish Grand Prix,11,11.0,8,8,8.0,1,58.0,1.0,Finished,55,9,5280857,01:27.8,218.882,8,10,0.0,1985,German
41080,3,23.0,6.0,6.0,2008.0,2008-05-25,Monaco Grand Prix,6,6.0,,R,16.0,0,59.0,3.0,Accident,58,15,,01:21.3,147.951,8,10,0.0,1985,German
41106,3,24.0,7.0,7.0,2008.0,2008-06-08,Canadian Grand Prix,5,5.0,10,10,10.0,0,70.0,1.0,Finished,14,5,5838976,01:18.0,201.336,8,10,0.0,1985,German
41192,4,938.0,12.0,14.0,2015.0,2015-09-06,Italian Grand Prix,17,16.0,18,18,18.0,0,47.0,16.0,>+1 Laps,42,15,,01:29.3,233.575,11,15,0.0,1981,Spanish
41251,4,939.0,13.0,15.0,2015.0,2015-09-20,Singapore Grand Prix,12,12.0,,R,17.0,0,33.0,6.0,Mechanical,27,16,,01:53.3,160.9,11,15,0.0,1981,Spanish
41319,4,941.0,15.0,71.0,2015.0,2015-10-11,Russian Grand Prix,16,19.0,11,11,11.0,0,53.0,1.0,Finished,29,12,5922234,01:42.6,205.115,11,16,0.0,1981,Spanish
41354,4,942.0,16.0,69.0,2015.0,2015-10-25,United States Grand Prix,11,9.0,11,11,11.0,0,56.0,1.0,Finished,55,11,6707519,01:44.3,190.243,11,17,0.0,1981,Spanish
41410,4,944.0,18.0,18.0,2015.0,2015-11-15,Brazilian Grand Prix,20,20.0,15,15,15.0,0,70.0,11.0,+1 Lap,54,15,,01:16.5,202.726,11,17,0.0,1981,Spanish
41424,3,25.0,8.0,8.0,2008.0,2008-06-22,French Grand Prix,15,19.0,16,16,16.0,0,69.0,11.0,+1 Lap,38,17,,01:18.3,202.776,8,10,0.0,1985,German
41445,4,945.0,19.0,24.0,2015.0,2015-11-29,Abu Dhabi Grand Prix,17,16.0,17,17,17.0,0,53.0,12.0,>+1 Laps,52,3,,01:44.8,190.793,11,17,0.0,1981,Spanish
41464,4,948.0,1.0,1.0,2016.0,2016-03-20,Australian Grand Prix,12,11.0,,R,21.0,0,16.0,4.0,Accident,14,11,,01:32.6,206.268,0,21,0.0,1981,Spanish
41483,4,950.0,3.0,17.0,2016.0,2016-04-17,Chinese Grand Prix,12,11.0,12,12,12.0,0,56.0,1.0,Finished,36,19,6031144,01:42.2,191.962,0,18,0.0,1981,Spanish
41507,4,952.0,5.0,4.0,2016.0,2016-05-15,Spanish Grand Prix,10,10.0,,R,19.0,0,45.0,5.0,Mechanical,41,13,,01:29.8,186.718,8,12,0.0,1981,Spanish
41552,4,954.0,7.0,7.0,2016.0,2016-06-12,Canadian Grand Prix,10,10.0,11,11,11.0,0,69.0,11.0,+1 Lap,67,13,,01:17.3,203.081,18,12,0.0,1981,Spanish
41581,4,955.0,8.0,73.0,2016.0,2016-06-19,European Grand Prix,14,13.0,,R,19.0,0,42.0,6.0,Mechanical,27,18,,01:49.1,198.08,18,13,0.0,1981,Spanish
41602,4,956.0,9.0,70.0,2016.0,2016-07-03,Austrian Grand Prix,14,14.0,18,18,18.0,0,64.0,84.0,Mechanical,44,20,,01:11.0,219.284,18,14,0.0,1981,Spanish
41619,3,26.0,9.0,9.0,2008.0,2008-07-06,British Grand Prix,18,20.0,9,9,9.0,0,59.0,11.0,+1 Lap,21,16,,01:34.8,195.234,8,11,0.0,1985,German
41659,4,940.0,14.0,22.0,2015.0,2015-09-27,Japanese Grand Prix,14,12.0,11,11,11.0,0,52.0,11.0,+1 Lap,45,16,,01:39.6,209.862,11,16,0.0,1981,Spanish
41706,4,943.0,17.0,32.0,2015.0,2015-11-01,Mexican Grand Prix,16,18.0,,R,20.0,0,1.0,31.0,Mechanical,,0,,,,11,17,0.0,1981,Spanish
41952,4,957.0,10.0,9.0,2016.0,2016-07-10,British Grand Prix,10,9.0,13,13,13.0,0,51.0,11.0,+1 Lap,43,2,,01:35.7,221.676,18,14,0.0,1981,Spanish
42012,4,958.0,11.0,11.0,2016.0,2016-07-24,Hungarian Grand Prix,7,7.0,7,7,7.0,6,69.0,11.0,+1 Lap,62,8,,01:25.0,185.639,24,13,0.0,1981,Spanish
42090,4,959.0,12.0,10.0,2016.0,2016-07-31,German Grand Prix,14,13.0,12,12,12.0,0,66.0,11.0,+1 Lap,50,13,,01:20.1,205.49,24,13,0.0,1981,Spanish
42144,3,27.0,10.0,10.0,2008.0,2008-07-20,German Grand Prix,13,13.0,10,10,10.0,0,67.0,1.0,Finished,34,15,5518499,01:17.4,212.799,8,12,0.0,1985,German
42168,4,891.0,11.0,13.0,2013.0,2013-08-25,Belgian Grand Prix,9,9.0,2,2,2.0,18,44.0,1.0,Finished,36,4,5039065,01:51.4,226.375,151,2,2.0,1981,Spanish
42188,4,892.0,12.0,14.0,2013.0,2013-09-08,Italian Grand Prix,5,5.0,2,2,2.0,18,53.0,1.0,Finished,52,5,4718819,01:26.8,240.27,169,2,2.0,1981,Spanish
42245,4,896.0,16.0,68.0,2013.0,2013-10-27,Indian Grand Prix,8,8.0,11,11,11.0,0,60.0,1.0,Finished,58,6,5550484,01:28.7,207.983,207,2,2.0,1981,Spanish
42284,4,899.0,19.0,18.0,2013.0,2013-11-24,Brazilian Grand Prix,3,3.0,3,3,3.0,15,71.0,1.0,Finished,50,2,5575213,01:15.5,205.473,242,2,2.0,1981,Spanish
42330,4,900.0,1.0,1.0,2014.0,2014-03-16,Australian Grand Prix,5,5.0,4,4,4.0,12,57.0,1.0,Finished,57,7,5613994,01:33.2,204.867,12,4,0.0,1981,Spanish
42375,4,901.0,2.0,2.0,2014.0,2014-03-30,Malaysian Grand Prix,4,4.0,4,4,4.0,12,56.0,1.0,Finished,47,3,6061966,01:44.2,191.569,24,3,0.0,1981,Spanish
42388,4,902.0,3.0,3.0,2014.0,2014-04-06,Bahrain Grand Prix,10,9.0,9,9,9.0,2,57.0,1.0,Finished,53,12,6015338,01:39.7,195.355,26,4,0.0,1981,Spanish
42410,3,28.0,11.0,11.0,2008.0,2008-08-03,Hungarian Grand Prix,15,14.0,14,14,14.0,0,69.0,11.0,+1 Lap,57,12,,01:22.4,191.409,8,13,0.0,1985,German
42425,4,903.0,4.0,17.0,2014.0,2014-04-20,Chinese Grand Prix,5,5.0,3,3,3.0,15,54.0,1.0,Finished,48,4,5631942,01:42.1,192.235,41,3,0.0,1981,Spanish
42467,4,904.0,5.0,4.0,2014.0,2014-05-11,Spanish Grand Prix,7,7.0,6,6,6.0,8,66.0,1.0,Finished,55,4,6152898,01:29.9,186.411,49,3,0.0,1981,Spanish
42857,4,905.0,6.0,6.0,2014.0,2014-05-25,Monaco Grand Prix,5,5.0,4,4,4.0,12,78.0,1.0,Finished,54,5,6600113,01:19.7,150.814,61,3,0.0,1981,Spanish
43013,4,916.0,17.0,69.0,2014.0,2014-11-02,United States Grand Prix,6,6.0,6,6,6.0,8,56.0,1.0,Finished,47,2,6100016,01:41.5,195.585,149,6,0.0,1981,Spanish
43092,4,918.0,19.0,24.0,2014.0,2014-11-23,Abu Dhabi Grand Prix,8,8.0,9,9,9.0,4,55.0,1.0,Finished,45,12,6028432,01:47.4,186.126,161,6,0.0,1981,Spanish
43203,4,927.0,2.0,2.0,2015.0,2015-03-29,Malaysian Grand Prix,18,18.0,,R,18.0,0,21.0,132.0,Mechanical,17,17,,01:48.5,183.983,0,20,0.0,1981,Spanish
43237,4,928.0,3.0,17.0,2015.0,2015-04-12,Chinese Grand Prix,18,18.0,12,12,12.0,0,55.0,11.0,+1 Lap,40,13,,01:43.7,189.183,0,17,0.0,1981,Spanish
43241,3,29.0,12.0,12.0,2008.0,2008-08-24,European Grand Prix,9,9.0,8,8,8.0,1,57.0,1.0,Finished,35,10,5803796,01:39.6,195.912,9,13,0.0,1985,German
43327,4,929.0,4.0,3.0,2015.0,2015-04-19,Bahrain Grand Prix,14,14.0,11,11,11.0,0,56.0,11.0,+1 Lap,38,13,,01:39.0,196.815,0,16,0.0,1981,Spanish
43394,4,930.0,5.0,4.0,2015.0,2015-05-10,Spanish Grand Prix,13,13.0,,R,20.0,0,26.0,23.0,Mechanical,23,18,,01:33.4,179.446,0,16,0.0,1981,Spanish
43426,4,931.0,6.0,6.0,2015.0,2015-05-24,Monaco Grand Prix,15,13.0,,R,19.0,0,41.0,6.0,Mechanical,36,16,,01:20.5,149.308,0,17,0.0,1981,Spanish
43476,4,932.0,7.0,7.0,2015.0,2015-06-07,Canadian Grand Prix,14,13.0,,R,20.0,0,44.0,5.0,Mechanical,41,18,,01:19.6,197.28,0,18,0.0,1981,Spanish
43587,4,936.0,10.0,11.0,2015.0,2015-07-26,Hungarian Grand Prix,15,15.0,5,5,5.0,10,69.0,1.0,Finished,67,10,6419064,01:27.3,180.637,11,15,0.0,1981,Spanish
43632,4,951.0,4.0,71.0,2016.0,2016-05-01,Russian Grand Prix,14,14.0,6,6,6.0,8,52.0,11.0,+1 Lap,52,5,,01:40.3,209.799,8,11,0.0,1981,Spanish
43680,4,953.0,6.0,6.0,2016.0,2016-05-29,Monaco Grand Prix,10,9.0,5,5,5.0,10,78.0,1.0,Finished,72,8,7254209,01:19.2,151.739,18,12,0.0,1981,Spanish
43694,3,30.0,13.0,13.0,2008.0,2008-09-07,Belgian Grand Prix,15,15.0,12,12,12.0,0,43.0,11.0,+1 Lap,32,15,,01:50.7,227.862,9,14,0.0,1985,German
43729,4,967.0,20.0,18.0,2016.0,2016-11-13,Brazilian Grand Prix,10,10.0,10,10,10.0,1,71.0,1.0,Finished,70,12,10905767,01:27.1,178.09,53,10,0.0,1981,Spanish
43737,4,969.0,1.0,1.0,2017.0,2017-03-26,Australian Grand Prix,13,12.0,,R,14.0,0,50.0,76.0,Mechanical,48,17,,01:30.1,211.938,0,14,0.0,1981,Spanish
43776,4,973.0,5.0,4.0,2017.0,2017-05-14,Spanish Grand Prix,7,7.0,12,12,12.0,0,64.0,12.0,>+1 Laps,64,4,,01:23.9,199.752,0,18,0.0,1981,Spanish
43810,4,962.0,15.0,15.0,2016.0,2016-09-18,Singapore Grand Prix,9,9.0,7,7,7.0,6,61.0,1.0,Finished,49,12,7038148,01:51.2,163.902,36,11,0.0,1981,Spanish
43835,3,31.0,14.0,14.0,2008.0,2008-09-14,Italian Grand Prix,5,5.0,14,14,14.0,0,53.0,1.0,Finished,53,10,5276129,01:30.0,231.671,9,14,0.0,1985,German
43857,4,963.0,16.0,2.0,2016.0,2016-10-02,Malaysian Grand Prix,22,22.0,7,7,7.0,6,56.0,1.0,Finished,44,6,5897981,01:38.3,203.017,42,10,0.0,1981,Spanish
43882,4,964.0,17.0,22.0,2016.0,2016-10-09,Japanese Grand Prix,15,15.0,16,16,16.0,0,52.0,11.0,+1 Lap,29,19,,01:38.2,212.866,42,11,0.0,1981,Spanish
43905,4,965.0,18.0,69.0,2016.0,2016-10-23,United States Grand Prix,12,12.0,5,5,5.0,10,56.0,1.0,Finished,36,10,5986571,01:43.5,191.752,52,10,0.0,1981,Spanish
43952,4,966.0,19.0,32.0,2016.0,2016-10-30,Mexican Grand Prix,11,11.0,13,13,13.0,0,70.0,11.0,+1 Lap,69,16,,01:23.7,185.189,52,10,0.0,1981,Spanish
44010,4,968.0,21.0,24.0,2016.0,2016-11-27,Abu Dhabi Grand Prix,9,9.0,10,10,10.0,1,55.0,1.0,Finished,50,2,5943909,01:44.5,191.343,54,10,0.0,1981,Spanish
44015,3,32.0,15.0,15.0,2008.0,2008-09-28,Singapore Grand Prix,9,8.0,2,2,2.0,8,61.0,1.0,Finished,39,5,7039261,01:46.5,171.352,17,12,0.0,1985,German
44077,4,970.0,2.0,17.0,2017.0,2017-04-09,Chinese Grand Prix,13,13.0,,R,16.0,0,33.0,30.0,Mechanical,31,15,,01:39.5,197.23,0,19,0.0,1981,Spanish
44116,4,971.0,3.0,3.0,2017.0,2017-04-16,Bahrain Grand Prix,15,15.0,14,14,14.0,0,54.0,131.0,Mechanical,47,14,,01:35.6,203.809,0,19,0.0,1981,Spanish
44170,4,993.0,5.0,4.0,2018.0,2018-05-13,Spanish Grand Prix,8,8.0,8,8,8.0,4,65.0,11.0,+1 Lap,64,7,,01:20.7,207.588,32,7,0.0,1981,Spanish
44243,4,994.0,6.0,6.0,2018.0,2018-05-27,Monaco Grand Prix,7,7.0,,R,20.0,0,52.0,6.0,Mechanical,23,13,,01:17.0,155.979,32,7,0.0,1981,Spanish
44305,4,1000.0,12.0,11.0,2018.0,2018-07-29,Hungarian Grand Prix,11,11.0,8,8,8.0,4,69.0,11.0,+1 Lap,68,9,,01:22.1,192.125,44,9,0.0,1981,Spanish
44392,4,1002.0,14.0,14.0,2018.0,2018-09-02,Italian Grand Prix,13,13.0,,R,18.0,0,9.0,5.0,Mechanical,18,17,,01:25.2,244.691,44,11,0.0,1981,Spanish
44538,4,961.0,14.0,14.0,2016.0,2016-09-04,Italian Grand Prix,13,12.0,14,14,14.0,0,52.0,11.0,+1 Lap,51,1,,01:25.3,244.373,30,11,0.0,1981,Spanish
44772,4,1003.0,15.0,15.0,2018.0,2018-09-16,Singapore Grand Prix,11,11.0,7,7,7.0,6,61.0,1.0,Finished,57,4,6774612,01:43.2,176.677,50,8,0.0,1981,Spanish
44779,3,33.0,16.0,16.0,2008.0,2008-10-12,Japanese Grand Prix,15,15.0,11,11,11.0,0,67.0,1.0,Finished,66,10,5483988,01:19.5,206.545,17,13,0.0,1985,German
44849,4,1006.0,18.0,69.0,2018.0,2018-10-21,United States Grand Prix,16,13.0,,R,18.0,0,1.0,4.0,Accident,5,17,,01:40.9,196.633,50,10,0.0,1981,Spanish
44851,4,1008.0,20.0,18.0,2018.0,2018-11-11,Brazilian Grand Prix,18,17.0,17,17,17.0,0,69.0,12.0,>+1 Laps,57,14,,01:12.6,213.542,50,10,0.0,1981,Spanish
44957,4,1009.0,21.0,24.0,2018.0,2018-11-25,Abu Dhabi Grand Prix,15,15.0,11,11,11.0,0,54.0,11.0,+1 Lap,53,7,,01:42.4,195.271,50,11,0.0,1981,Spanish
44983,4,1052.0,1.0,3.0,2021.0,2021-03-28,Bahrain Grand Prix,9,9.0,,R,19.0,0,32.0,23.0,Mechanical,31,17,,01:36.1,202.816,0,19,0.0,1981,Spanish
45015,4,1053.0,2.0,21.0,2021.0,2021-04-18,Emilia Romagna Grand Prix,15,15.0,10,10,10.0,1,63.0,1.0,Finished,62,14,7421159,01:19.4,222.526,1,13,0.0,1981,Spanish
45125,4,1054.0,3.0,75.0,2021.0,2021-05-02,Portuguese Grand Prix,13,13.0,8,8,8.0,4,66.0,1.0,Finished,66,5,5673229,01:21.0,206.718,5,12,0.0,1981,Spanish
45131,4,1057.0,6.0,73.0,2021.0,2021-06-06,Azerbaijan Grand Prix,9,8.0,6,6,6.0,8,51.0,1.0,Finished,42,11,8022792,01:45.6,204.601,13,11,0.0,1981,Spanish
45172,4,1078.0,5.0,79.0,2022.0,2022-05-08,Miami Grand Prix,11,11.0,11,11,11.0,0,57.0,1.0,Finished,53,13,5701386,01:33.3,208.753,2,16,0.0,1981,Spanish
45226,4,1089.0,16.0,14.0,2022.0,2022-09-11,Italian Grand Prix,10,6.0,,R,19.0,0,31.0,34.0,Mechanical,7,18,,01:27.2,239.152,59,9,0.0,1981,Spanish
45260,4,1091.0,17.0,15.0,2022.0,2022-10-02,Singapore Grand Prix,5,5.0,,R,18.0,0,20.0,5.0,Mechanical,19,16,,02:00.5,151.306,59,9,0.0,1981,Spanish
45290,4,1092.0,18.0,22.0,2022.0,2022-10-09,Japanese Grand Prix,7,7.0,7,7,7.0,6,28.0,1.0,Finished,25,2,10950373,01:44.4,200.218,65,9,0.0,1981,Spanish
45323,4,1093.0,19.0,69.0,2022.0,2022-10-23,United States Grand Prix,9,14.0,7,7,7.0,6,56.0,1.0,Finished,39,8,6186765,01:41.5,195.461,71,9,0.0,1981,Spanish
45390,4,1094.0,20.0,32.0,2022.0,2022-10-30,Mexico City Grand Prix,9,9.0,19,19,19.0,0,63.0,5.0,Mechanical,48,11,,01:22.9,186.981,71,9,0.0,1981,Spanish
45456,4,1095.0,21.0,18.0,2022.0,2022-11-13,Brazilian Grand Prix,7,17.0,5,5,5.0,10,71.0,1.0,Finished,62,4,5923605,01:14.2,209.163,81,9,0.0,1981,Spanish
45510,4,1096.0,22.0,24.0,2022.0,2022-11-20,Abu Dhabi Grand Prix,11,10.0,,R,20.0,0,27.0,47.0,Mechanical,24,17,,01:30.6,209.889,81,9,0.0,1981,Spanish
45533,5,11.0,11.0,12.0,2009.0,2009-08-23,European Grand Prix,2,2.0,4,4,4.0,5,57.0,1.0,Finished,56,7,5771321,01:39.3,196.378,14,12,0.0,1981,Finnish
45547,5,13.0,13.0,14.0,2009.0,2009-09-13,Italian Grand Prix,4,4.0,6,6,6.0,3,53.0,1.0,Finished,51,6,4642399,01:25.1,245.036,20,10,0.0,1981,Finnish
45611,3,34.0,17.0,17.0,2008.0,2008-10-19,Chinese Grand Prix,15,14.0,15,15,15.0,0,55.0,11.0,+1 Lap,38,10,,01:37.2,201.793,17,13,0.0,1985,German
45613,5,14.0,14.0,15.0,2009.0,2009-09-27,Singapore Grand Prix,10,8.0,7,7,7.0,2,61.0,1.0,Finished,36,11,7002494,01:49.3,167.114,22,12,0.0,1981,Finnish
45652,5,15.0,15.0,22.0,2009.0,2009-10-04,Japanese Grand Prix,9,11.0,11,11,11.0,0,53.0,1.0,Finished,35,12,5314178,01:33.8,222.867,22,12,0.0,1981,Finnish
45742,5,16.0,16.0,18.0,2009.0,2009-10-18,Brazilian Grand Prix,17,16.0,9,9,9.0,0,71.0,1.0,Finished,68,5,5591580,01:14.3,208.772,22,12,0.0,1981,Finnish
45832,5,17.0,17.0,24.0,2009.0,2009-11-01,Abu Dhabi Grand Prix,13,18.0,11,11,11.0,0,55.0,1.0,Finished,53,18,5696212,01:41.3,197.346,22,12,0.0,1981,Finnish
45889,5,18.0,1.0,1.0,2008.0,2008-03-16,Australian Grand Prix,3,3.0,5,5,5.0,4,58.0,1.0,Finished,43,1,5708630,01:27.4,218.385,4,5,0.0,1981,Finnish
45917,5,36.0,1.0,1.0,2007.0,2007-03-18,Australian Grand Prix,13,13.0,10,10,10.0,0,57.0,11.0,+1 Lap,44,10,,01:27.6,217.951,0,10,0.0,1981,Finnish
45992,5,37.0,2.0,2.0,2007.0,2007-04-08,Malaysian Grand Prix,11,11.0,8,8,8.0,1,56.0,1.0,Finished,41,7,5606945,01:37.8,204.015,1,9,0.0,1981,Finnish
