driverId,year,dstnd_points,results_laps,wins,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19,res_20,res_21,res_22,res_23,res_24,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8,grid_9,grid_10,grid_11,grid_12,grid_13,grid_14,grid_15,grid_16,grid_17,grid_18,grid_19,grid_20,grid_21,grid_22,grid_23,grid_24,races
3,2016.0,385.0,1202.0,9.0,9,5,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2001.0,0.0,36.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2003.0,55.0,892.0,1.0,1,1,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2004.0,59.0,949.0,0.0,0,1,3,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2005.0,133.0,1074.0,7.0,7,5,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2006.0,134.0,1108.0,7.0,7,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2007.0,109.0,1039.0,4.0,4,4,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2008.0,61.0,1000.0,2.0,2,1,0,5,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2009.0,26.0,843.0,0.0,0,0,1,0,3,1,2,1,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2010.0,252.0,1120.0,5.0,5,2,3,2,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011.0,257.0,1098.0,1.0,1,5,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2012.0,278.0,1095.0,3.0,3,5,5,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2013.0,242.0,1076.0,2.0,2,5,2,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014.0,161.0,1067.0,0.0,0,1,1,4,2,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015.0,11.0,770.0,0.0,0,0,0,0,1,0,0,0,0,1,4,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,1,3,0,0,0,0,0,0,0
4,2016.0,54.0,1081.0,0.0,0,0,0,0,2,1,3,0,0,2,1,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
4,2017.0,17.0,830.0,0.0,0,0,0,0,0,1,0,1,2,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018.0,50.0,985.0,0.0,0,0,0,0,1,0,4,4,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0
