,driverId,raceId,lap,pit_ms
374,30,847,18,24472
375,4,847,19,26348
376,18,847,19,23868
377,3,847,19,22986
378,153,847,19,26045
379,22,847,19,25066
380,5,847,19,44037
381,15,847,19,51684
382,813,847,19,24943
383,20,847,20,23872
384,17,847,20,29546
385,67,847,20,24649
386,13,847,21,24886
387,30,847,21,24196
388,816,847,23,30497
389,816,847,33,24655
390,30,847,34,22832
391,16,847,34,22923
392,10,847,34,24425
393,22,847,34,24684
394,67,847,34,23970
395,2,847,35,23113
396,814,847,35,22479
397,18,847,35,23589
398,37,847,35,30288
399,153,847,35,24863
400,813,847,35,23593
401,24,847,35,34897
402,155,847,36,23687
403,13,847,36,22742
404,808,847,36,23816
405,17,847,36,22402
406,4,847,36,26129
407,3,847,36,22735
408,15,847,36,23332
409,816,847,36,14538
410,20,847,37,22958
411,39,847,37,29115
412,18,847,37,31718
413,814,847,43,28630
414,16,847,45,14565
415,16,847,49,32449
416,17,847,50,22770
417,22,847,50,23059
418,67,847,50,26561
419,814,847,50,14538
420,18,847,51,23741
421,153,847,51,23338
422,813,847,51,23700
423,10,847,51,25079
424,39,847,51,29540
425,30,847,52,22869
426,13,847,52,22560
427,2,847,52,23364
428,37,847,52,24039
429,15,847,52,25140
430,816,847,52,30714
431,20,847,53,22526
432,24,847,52,33278
433,155,847,53,24618
434,808,847,53,24145
435,3,847,53,22702
436,13,847,53,28346
437,814,847,53,23129
438,813,847,61,31701
439,813,848,10,21301
440,2,848,11,22114
441,22,848,11,21163
442,155,848,11,23492
443,1,848,12,20340
444,3,848,12,21054
445,16,848,12,20676
446,17,848,13,20465
447,20,848,14,21006
448,4,848,14,21477
449,18,848,14,20997
450,30,848,14,21201
451,814,848,14,20567
452,67,848,14,21321
453,5,848,14,23241
454,39,848,14,28030
455,13,848,15,20718
456,808,848,15,22104
457,30,848,15,30665
458,24,848,15,24459
459,10,848,17,21900
460,15,848,18,23327
461,816,848,18,21943
462,153,848,19,21391
463,1,848,24,21035
464,815,848,25,21939
465,67,848,26,20460
466,5,848,26,21126
467,2,848,27,22285
468,814,848,27,20818
469,808,848,27,21168
470,17,848,28,20319
471,16,848,28,20286
472,22,848,28,21262
473,813,848,28,21805
474,4,848,29,20551
475,24,848,28,22766
476,20,848,30,20441
477,18,848,30,20325
478,3,848,30,23547
479,39,848,29,24675
480,13,848,31,25537
481,30,848,31,21168
482,155,848,33,20545
483,15,848,34,22131
484,816,848,37,22250
485,808,848,39,21105
486,2,848,40,21472
487,22,848,40,21286
488,17,848,42,20367
489,1,848,42,20212
490,153,848,42,21103
491,5,848,42,22632
492,16,848,43,21036
493,10,848,42,22030
494,814,848,44,21069
495,4,848,45,20136
496,24,848,43,22235
497,813,848,44,21490
498,3,848,45,20896
