driverId,raceId,constructorId,fastestLap,rank,fastestLapTime,fastestLapSpeed
5,39,4,32,4,122980,201.952
11,39,8,23,12,124110,199.239
21,39,4,57,9,123560,200.55
22,39,11,16,14,124287,198.82
19,39,8,59,15,124291,198.811
18,39,11,64,13,124186,199.059
16,39,12,57,16,125191,196.71
27,39,12,61,18,125260,196.551
2,39,2,22,7,123483,200.735
23,39,7,37,11,124003,199.492
24,39,5,18,17,125207,196.673
26,39,5,6,20,126238,194.322
8,39,6,7,6,123475,200.754
15,39,7,6,19,126094,194.647
17,39,9,4,21,126323,194.131
4,40,1,44,1,115284,159.715
1,40,1,28,2,115372,159.528
13,40,6,47,4,116183,157.83
21,40,4,54,5,116254,157.683
9,40,2,39,3,116006,158.198
2,40,2,30,12,117041,156.072
25,40,3,40,7,116658,156.852
8,40,6,62,6,116592,156.987
26,40,5,73,10,116867,156.426
22,40,11,69,13,117080,155.993
18,40,11,40,9,116802,156.558
3,40,3,70,11,116991,156.174
5,40,4,72,14,117100,155.953
14,40,9,75,8,116786,156.591
15,40,7,53,18,117495,155.158
23,40,7,47,17,117231,155.688
11,40,8,74,15,117183,155.785
19,40,8,63,16,117223,155.704
27,40,12,70,20,117689,154.77
16,40,12,34,19,117678,154.792
17,40,9,17,21,118998,152.206
1,41,1,37,2,116494,205.239
2,41,2,19,3,116696,204.699
25,41,3,67,11,117947,201.413
5,41,4,67,13,118368,200.331
8,41,6,21,5,116861,204.259
11,41,8,47,12,118035,201.186
4,41,1,46,1,116367,205.58
23,41,7,38,10,117910,201.509
17,41,9,47,9,117618,202.267
3,41,3,42,6,117156,203.478
19,41,8,36,15,118780,199.284
22,41,11,62,14,118543,199.885
15,41,7,12,17,119092,198.497
24,41,5,9,19,119375,197.79
27,41,12,21,18,119254,198.092
14,41,9,19,16,118981,198.776
9,41,2,19,8,117529,202.499
16,41,12,20,20,119452,197.598
26,41,5,6,21,120092,196.019
13,41,6,22,4,116849,204.291
21,41,4,22,7,117411,202.808
1,42,1,20,2,113222,206.101
4,42,1,21,3,113257,206.003
13,42,6,50,4,113380,205.658
8,42,6,49,1,113117,206.397
5,42,4,67,7,113998,203.94
15,42,7,30,10,114016,203.891
17,42,9,57,8,114004,203.924
20,42,2,53,6,113862,204.316
21,42,4,67,9,114009,203.91
25,42,3,41,13,114486,202.604
19,42,8,55,12,114066,203.753
18,42,11,42,14,114703,202.015
26,42,5,66,16,115092,200.969
16,42,12,49,15,114858,201.597
27,42,12,65,18,115902,198.824
3,42,3,34,11,114066,203.753
24,42,5,64,17,115426,200.079
2,42,2,20,5,113414,205.562
11,42,8,8,19,116680,196.807
8,43,6,20,2,116207,208.374
13,43,6,42,1,116099,208.67
1,43,1,39,4,116587,207.34
9,43,2,44,10,117153,205.819
2,43,2,70,7,116875,206.563
21,43,4,70,5,116703,207.027
4,43,1,36,3,116495,207.59
18,43,11,70,6,116770,206.846
3,43,3,69,9,117011,206.199
23,43,7,68,8,116966,206.319
22,43,11,68,12,117220,205.641
17,43,9,69,14,117249,205.563
14,43,9,68,15,117447,205.038
25,43,3,69,13,117240,205.587
5,43,4,69,11,117206,205.678
11,43,8,39,16,117796,204.118
16,43,12,27,18,118091,203.347
26,43,5,51,17,117934,203.757
27,43,12,27,19,118955,201.122
8,44,6,17,1,120638,229.514
4,44,1,35,3,121117,228.159
1,44,1,11,4,121675,226.6
9,44,2,14,6,122105,225.413
13,44,6,17,2,120858,228.89
2,44,2,17,5,121991,225.727
5,44,4,11,9,122552,224.193
21,44,4,13,7,122136,225.328
22,44,11,28,13,123387,221.948
18,44,11,29,16,123581,221.433
14,44,9,40,12,123118,222.666
3,44,3,49,11,122896,223.262
25,44,3,57,10,122693,223.81
11,44,8,42,14,123413,221.879
27,44,12,56,21,124390,219.31
24,44,5,46,17,123628,221.308
15,44,7,17,18,123708,221.097
19,44,8,26,20,124144,219.951
26,44,5,19,15,123570,221.462
23,44,7,12,8,122510,224.307
16,44,12,16,22,125015,217.698
17,44,9,6,19,123767,220.941
4,45,1,35,2,133231,198.783
13,45,6,34,1,132853,199.592
17,45,9,29,8,134449,196.22
25,45,3,33,5,134235,196.665
14,45,9,48,6,134316,196.496
2,45,2,49,7,134354,196.417
9,45,2,49,9,134451,196.216
5,45,4,48,11,134603,195.9
1,45,1,29,3,133401,198.421
21,45,4,48,12,134893,195.302
22,45,11,37,14,135632,193.792
19,45,8,46,13,135282,194.504
15,45,7,29,10,134496,196.122
8,45,6,32,4,133904,197.359
11,45,8,18,16,137401,190.273
23,45,7,18,15,136195,192.658
28,45,12,13,17,142783,180.309
18,45,11,2,18,220041,132.338
16,45,12,2,19,225798,127.112
3,45,3,2,20,250950,108.41
26,45,5,2,21,301900,101.884
24,45,5,2,22,322300,91.61
1,46,1,13,2,120171,196.724
8,46,6,70,1,120047,197.029
2,46,2,16,5,120582,195.721
4,46,1,49,3,120324,196.349
9,46,2,40,4,120419,196.117
23,46,7,69,9,120961,194.804
3,46,3,68,6,120672,195.502
5,46,4,69,8,120935,194.867
17,46,9,63,7,120915,194.915
15,46,7,48,12,121253,194.104
14,46,9,67,14,121553,193.39
21,46,4,66,15,121695,193.054
13,46,6,37,11,120981,194.756
25,46,3,49,13,121264,194.078
11,46,8,66,10,120980,194.759
20,46,5,65,16,121915,192.536
16,46,12,67,19,122263,191.721
22,46,11,34,17,122004,192.327
24,46,5,35,20,122410,191.379
19,46,8,39,18,122166,191.948
18,46,11,25,21,122906,190.234
29,46,12,4,22,126741,181.824
13,47,6,18,2,127922,218.566
8,47,6,57,1,127295,220.136
4,47,1,39,4,128070,218.199
2,47,2,39,5,128319,217.583
1,47,1,17,3,127963,218.464
5,47,4,20,7,128603,216.886
3,47,3,37,6,128536,217.05
9,47,2,11,11,128918,216.118
21,47,4,56,9,128793,216.422
14,47,9,54,13,129068,215.754
25,47,3,55,8,128737,216.559
23,47,7,55,12,128924,216.103
18,47,11,34,10,128873,216.227
19,47,8,38,17,129658,214.334
24,47,5,56,16,129563,214.561
15,47,7,39,14,129459,214.811
22,47,11,35,15,129513,214.681
11,47,8,56,18,129916,213.719
20,47,5,39,19,129983,213.56
29,47,12,21,22,130951,211.287
16,47,12,52,20,130617,212.066
17,47,9,4,21,130808,211.62
4,48,1,15,1,122871,251.653
1,48,1,17,2,122936,251.456
