driverId,raceId,points,position,wins
19,28,0.0,22,0
11,28,0.0,20,0
13,28,54.0,3,3
10,28,13.0,10,0
16,28,0.0,21,0
20,28,6.0,16,0
1,29,70.0,1,4
2,29,41.0,6,0
3,29,9.0,13,0
4,29,18.0,8,0
5,29,43.0,5,1
6,29,8.0,15,0
7,29,2.0,18,0
8,29,57.0,3,2
9,29,55.0,4,1
15,29,26.0,7,0
17,29,18.0,9,0
14,29,6.0,16,0
18,29,3.0,17,0
12,29,13.0,11,0
21,29,0.0,19,0
22,29,11.0,12,0
19,29,0.0,22,0
11,29,0.0,20,0
13,29,64.0,2,4
10,29,15.0,10,0
16,29,0.0,21,0
20,29,9.0,14,0
1,30,76.0,1,4
2,30,49.0,5,0
3,30,9.0,14,0
4,30,23.0,8,0
5,30,43.0,6,1
6,30,8.0,15,0
7,30,4.0,17,0
8,30,57.0,4,2
9,30,58.0,3,1
15,30,26.0,7,0
17,30,19.0,9,0
14,30,6.0,16,0
18,30,3.0,18,0
12,30,13.0,11,0
21,30,0.0,19,0
22,30,11.0,13,0
19,30,0.0,22,0
11,30,0.0,21,0
13,30,74.0,2,5
10,30,15.0,10,0
16,30,0.0,20,0
20,30,13.0,12,0
1,31,78.0,1,4
2,31,53.0,5,0
3,31,9.0,14,0
4,31,28.0,7,0
5,31,51.0,6,1
6,31,8.0,15,0
7,31,4.0,17,0
8,31,57.0,4,2
9,31,64.0,3,1
15,31,26.0,8,0
17,31,20.0,10,0
14,31,6.0,16,0
18,31,3.0,18,0
12,31,13.0,12,0
21,31,0.0,19,0
22,31,11.0,13,0
19,31,0.0,22,0
11,31,0.0,21,0
13,31,77.0,2,5
10,31,15.0,11,0
16,31,0.0,20,0
20,31,23.0,9,1
1,32,84.0,1,4
2,32,56.0,5,0
3,32,17.0,12,0
4,32,38.0,7,1
5,32,51.0,6,1
6,32,9.0,15,0
7,32,4.0,17,0
8,32,57.0,4,2
9,32,64.0,3,1
15,32,26.0,9,0
17,32,20.0,11,0
14,32,8.0,16,0
18,32,3.0,18,0
12,32,13.0,13,0
21,32,0.0,19,0
22,32,11.0,14,0
19,32,0.0,22,0
11,32,0.0,21,0
13,32,77.0,2,5
10,32,20.0,10,0
16,32,0.0,20,0
20,32,27.0,8,1
1,33,84.0,1,4
2,33,56.0,5,0
3,33,17.0,13,0
4,33,48.0,7,2
5,33,51.0,6,1
6,33,9.0,15,0
7,33,4.0,17,0
8,33,63.0,4,2
9,33,72.0,3,1
15,33,30.0,9,0
17,33,21.0,10,0
14,33,8.0,16,0
18,33,3.0,18,0
12,33,18.0,12,0
21,33,0.0,19,0
22,33,11.0,14,0
19,33,0.0,22,0
11,33,0.0,21,0
13,33,79.0,2,5
10,33,20.0,11,0
16,33,0.0,20,0
20,33,30.0,8,1
20,34,30.0,8,1
16,34,0.0,20,0
10,34,22.0,10,0
13,34,87.0,2,5
11,34,0.0,21,0
19,34,0.0,22,0
22,34,11.0,14,0
21,34,0.0,19,0
12,34,19.0,12,0
18,34,3.0,18,0
14,34,8.0,16,0
17,34,21.0,11,0
15,34,30.0,9,0
9,34,75.0,3,1
8,34,69.0,4,2
7,34,4.0,17,0
6,34,9.0,15,0
5,34,51.0,7,1
4,34,53.0,6,2
3,34,17.0,13,0
2,34,60.0,5,0
1,34,94.0,1,5
1,35,98.0,1,5
2,35,60.0,6,0
3,35,17.0,13,0
4,35,61.0,5,2
5,35,53.0,7,1
6,35,9.0,15,0
7,35,4.0,17,0
8,35,75.0,3,2
9,35,75.0,4,1
15,35,31.0,9,0
17,35,21.0,11,0
14,35,8.0,16,0
18,35,3.0,18,0
12,35,19.0,12,0
21,35,0.0,19,0
22,35,11.0,14,0
19,35,0.0,22,0
11,35,0.0,21,0
13,35,97.0,2,6
10,35,25.0,10,0
16,35,0.0,20,0
20,35,35.0,8,1
16,36,0.0,17,0
19,36,0.0,16,0
18,36,0.0,15,0
24,36,0.0,14,0
17,36,0.0,13,0
11,36,0.0,12,0
22,36,0.0,11,0
5,36,0.0,10,0
15,36,0.0,9,0
23,36,1.0,8,0
3,36,2.0,7,0
13,36,3.0,6,0
21,36,4.0,5,0
9,37,0.0,20,0
26,37,0.0,17,0
25,37,0.0,11,0
16,37,0.0,19,0
19,37,0.0,18,0
18,37,0.0,15,0
24,37,0.0,16,0
17,37,0.0,12,0
11,37,0.0,14,0
22,37,0.0,13,0
5,37,1.0,9,0
15,37,2.0,7,0
23,37,1.0,10,0
13,37,7.0,6,0
27,38,0.0,18,0
9,38,3.0,8,0
26,38,0.0,19,0
25,38,0.0,12,0
