driverId,raceId,lap,milliseconds
3,847,53,22702
13,847,53,28346
814,847,53,23129
813,847,61,31701
813,848,10,21301
2,848,11,22114
22,848,11,21163
155,848,11,23492
1,848,12,20340
3,848,12,21054
16,848,12,20676
17,848,13,20465
20,848,14,21006
4,848,14,21477
18,848,14,20997
30,848,14,21201
814,848,14,20567
67,848,14,21321
5,848,14,23241
39,848,14,28030
13,848,15,20718
808,848,15,22104
30,848,15,30665
24,848,15,24459
10,848,17,21900
15,848,18,23327
816,848,18,21943
153,848,19,21391
1,848,24,21035
815,848,25,21939
67,848,26,20460
5,848,26,21126
2,848,27,22285
814,848,27,20818
808,848,27,21168
17,848,28,20319
16,848,28,20286
22,848,28,21262
813,848,28,21805
4,848,29,20551
24,848,28,22766
20,848,30,20441
18,848,30,20325
3,848,30,23547
39,848,29,24675
13,848,31,25537
30,848,31,21168
155,848,33,20545
15,848,34,22131
816,848,37,22250
808,848,39,21105
2,848,40,21472
22,848,40,21286
17,848,42,20367
1,848,42,20212
153,848,42,21103
5,848,42,22632
16,848,43,21036
10,848,42,22030
814,848,44,21069
4,848,45,20136
24,848,43,22235
813,848,44,21490
3,848,45,20896
67,848,45,20995
20,848,47,20331
39,848,44,26059
13,848,48,20404
18,848,48,20479
30,849,9,30242
2,849,10,24716
18,849,11,25070
16,849,11,25737
155,849,11,28448
813,849,11,26238
67,849,11,26279
808,849,11,24880
22,849,11,25860
10,849,11,25416
24,849,11,26643
816,849,11,28742
17,849,12,23973
4,849,12,26566
1,849,12,25100
814,849,12,26612
3,849,12,24722
815,849,12,25386
153,849,12,24719
817,849,12,25872
20,849,13,24818
13,849,13,24159
30,849,16,31751
155,849,20,31551
1,849,24,24065
814,849,24,45291
813,849,24,24272
16,849,25,24077
67,849,25,24620
17,849,26,25490
18,849,26,24287
13,849,26,23929
814,849,26,31471
20,849,27,31558
4,849,27,23974
816,849,28,25428
817,849,28,26942
3,849,30,24399
2,849,30,24434
10,849,30,24959
153,849,31,24095
30,849,31,24651
22,849,31,23955
815,849,32,25619
24,849,31,25505
813,849,35,23869
20,849,36,23137
1,849,37,23340
17,849,38,23785
808,849,38,24172
4,849,39,23474
18,849,39,23292
16,849,40,27240
13,849,41,23238
815,850,8,27247
67,850,10,27301
812,850,10,31879
17,850,14,20440
3,850,14,20348
30,850,15,20768
813,850,15,21601
1,850,16,20982
4,850,16,20430
20,850,16,20394
13,850,17,20344
155,850,20,20882
24,850,20,22048
817,850,21,22319
16,850,22,20839
10,850,22,22252
808,850,23,21449
153,850,23,21062
814,850,23,23676
18,850,24,20952
816,850,24,20762
5,850,26,22088
17,850,30,21299
812,850,28,22331
1,850,31,20496
4,850,32,20035
813,850,35,21057
3,850,36,20975
67,850,36,20954
30,850,37,20299
20,850,40,20274
13,850,41,20185
815,850,41,21645
153,850,43,21689
808,850,46,20572
16,850,48,20879
155,850,48,21267
10,850,48,21252
1,850,51,20403
816,850,49,23588
817,850,49,24053
5,850,50,21175
814,850,51,22535
4,850,53,19975
3,850,53,20047
812,850,51,22458
17,850,56,20324
30,850,56,19930
13,850,59,21903
20,850,59,20110
17,851,10,20854
13,851,10,22293
808,851,10,25532
22,851,10,22640
18,851,11,21786
814,851,11,22262
813,851,11,23397
2,851,11,21371
10,851,11,22222
816,851,11,25337
1,851,12,21880
20,851,12,20690
4,851,12,22886
3,851,12,20767
155,851,12,23725
67,851,12,22349
5,851,12,22772
16,851,12,21902
815,851,12,22215
24,851,12,23633
30,851,13,21948
153,851,13,23734
15,851,13,23118
817,851,13,22844
813,851,16,13186
2,851,23,25434
22,851,24,22217
153,851,24,22552
5,851,24,22147
815,851,24,20570
17,851,25,20000
4,851,25,23208
13,851,25,21138
808,851,25,24194
67,851,25,21460
1,851,26,20803
30,851,26,20071
24,851,25,22501
16,851,26,20589
18,851,27,21065
3,851,27,19939
814,851,27,20801
20,851,28,20611
813,851,28,21426
10,851,28,20613
817,851,28,23563
816,851,29,20916
815,851,32,13201
155,851,34,22852
4,851,36,19936
22,851,37,20580
17,851,39,20673
24,851,37,27839
1,851,40,20861
13,851,40,22453
20,851,41,19664
18,851,42,20046
814,851,42,20935
67,851,43,20360
5,851,43,20990
815,851,44,20917
817,851,43,21651
4,851,47,20126
153,851,47,21345
816,851,47,49849
3,851,50,20563
17,851,51,21122
808,851,50,21353
22,851,50,31539
5,851,49,22364
16,851,50,21796
24,851,48,23010
813,851,50,23016
1,851,52,20855
17,851,53,20715
22,851,52,25596
1,851,54,21628
808,851,53,21609
5,851,52,21715
16,851,53,21503
816,851,51,22470
3,851,54,23244
813,851,53,22825
24,851,51,22458
10,851,53,20929
1,851,56,13173
13,851,58,21157
155,851,62,21258
10,852,1,35092
811,852,1,30795
5,852,1,28539
17,852,3,21015
18,852,3,26046
30,852,4,20153
20,852,5,20898
815,852,5,26092
10,852,6,13914
4,852,8,20994
811,852,8,13968
13,852,9,22267
1,852,10,21895
3,852,11,23090
24,852,11,21766
808,852,12,21395
813,852,12,21421
20,852,13,21411
16,852,13,22773
22,852,13,21818
30,852,13,20226
18,852,13,21756
817,852,13,23780
15,852,13,22159
816,852,13,22939
5,852,13,22009
155,852,14,24161
814,852,14,21334
10,852,14,24204
811,852,21,20756
815,852,22,14089
815,852,23,23883
24,852,27,30959
4,852,29,21243
813,852,29,22303
155,852,29,21269
20,852,30,20786
3,852,30,21171
13,852,30,21856
808,852,30,21979
814,852,30,21350
17,852,31,20947
16,852,31,20983
30,852,31,21319
22,852,31,21478
15,852,31,21484
18,852,32,21640
13,852,32,21485
5,852,33,22306
10,852,35,21721
816,852,36,22114
22,852,40,47753
155,853,1,27550
22,853,1,29157
811,853,2,22534
817,853,1,1004718
15,853,5,30391
814,853,13,21870
30,853,16,22709
67,853,16,24234
18,853,17,21660
1,853,18,22083
155,853,18,22939
4,853,19,22539
813,853,19,23063
811,853,19,23145
20,853,20,22124
153,853,20,21988
10,853,20,25147
13,853,21,21821
5,853,21,23298
15,853,24,23420
814,853,31,23069
22,853,32,23414
18,853,33,22095
817,853,20,30777
4,853,34,21989
1,853,34,21876
20,853,35,21378
5,853,35,22611
30,853,37,22014
813,853,37,22614
10,853,38,22784
67,853,40,24086
811,853,40,22273
13,853,41,22148
153,853,41,22279
817,854,1,44170
3,854,9,29549
4,854,10,30621
30,854,10,29610
811,854,10,35398
13,854,11,30290
1,854,11,30142
16,854,11,30718
813,854,11,30888
67,854,11,32827
5,854,11,32202
811,854,11,36856
17,854,12,30462
22,854,12,30456
13,854,12,32351
1,854,13,33456
24,854,13,34329
20,854,14,30023
18,854,14,30169
815,854,15,30810
1,854,15,24342
155,854,16,30464
15,854,16,31048
808,854,16,30807
817,854,15,34782
816,854,16,31763
153,854,17,30948
814,854,19,30704
15,854,19,33317
3,854,22,29417
30,854,24,29473
13,854,24,30478
153,854,24,24299
4,854,25,30387
813,854,25,30187
5,854,26,31621
24,854,26,32122
17,854,29,31204
816,854,28,31592
814,854,29,29764
16,854,29,33418
3,854,29,30261
815,854,29,33344
817,854,27,33058
811,854,28,30832
1,854,29,30706
20,854,30,30809
155,854,29,31602
18,854,30,29921
808,854,29,30625
22,854,30,30544
67,854,31,31394
153,854,35,31836
155,854,40,24715
13,854,41,30983
813,854,45,30477
15,854,44,31168
17,854,47,30413
24,854,45,31687
18,854,48,30305
1,854,48,29876
5,854,47,31207
20,854,49,30796
808,854,47,30485
4,854,49,29972
67,854,49,32739
24,854,46,42920
811,854,48,30987
155,854,53,30869
1,855,8,21091
16,855,8,21511
24,855,8,28244
20,855,9,22374
30,855,9,20667
18,855,10,21094
4,855,10,21147
17,855,10,21820
814,855,10,21964
155,855,10,24263
5,855,10,21412
13,855,11,21313
67,855,11,21849
15,855,11,21636
817,855,11,23723
22,855,12,22130
3,855,12,20575
10,855,12,25563
816,855,13,23013
811,855,15,25927
813,855,16,21339
153,855,17,21792
808,855,18,21304
20,855,19,21596
17,855,19,21369
18,855,20,20713
10,855,19,21726
815,855,20,21655
4,855,21,21319
1,855,21,22821
13,855,22,21214
5,855,22,21519
817,855,22,23172
16,855,23,21337
816,855,23,22258
30,855,24,22570
814,855,24,21964
155,855,24,22299
22,855,24,22736
3,855,24,20665
24,855,23,24716
15,855,24,22233
813,855,25,21075
20,855,33,21705
17,855,34,21455
1,855,35,21292
814,855,35,21553
811,855,35,22466
18,855,36,20998
13,855,36,21100
153,855,36,22584
24,855,35,22631
4,855,37,20731
815,855,37,24461
16,855,37,21839
22,855,37,21890
5,855,37,22532
10,855,36,22877
15,855,38,22156
816,855,37,24269
808,855,39,20832
817,855,38,22910
30,855,41,20879
3,855,41,20809
813,855,41,21012
24,856,1,26379
155,856,10,21623
22,856,10,21722
814,856,11,22075
15,856,12,22441
18,856,13,20766
3,856,13,20091
811,856,13,21163
5,856,13,21951
17,856,14,20828
13,856,14,23642
808,856,14,21478
30,856,14,20238
67,856,14,22098
1,856,15,20846
4,856,15,20978
20,856,16,19985
16,856,16,24820
813,856,16,21569
815,856,16,21225
10,856,16,22533
817,856,16,23196
816,856,16,26905
153,856,17,22301
24,856,16,23544
813,856,22,13984
155,856,24,25578
3,856,27,20772
813,856,28,22035
811,856,30,21893
814,856,31,21060
22,856,31,22347
1,856,33,20584
17,856,33,20800
20,856,34,20170
18,856,34,20758
13,856,34,21080
16,856,35,21916
67,856,36,21992
815,856,36,21385
15,856,36,22851
4,856,37,20639
153,856,37,22325
5,856,38,22669
816,856,38,22412
24,856,38,22092
10,856,41,22481
817,856,41,22115
155,856,42,21472
815,856,53,21971
815,857,1,22676
10,857,1,27378
22,857,1,33650
15,857,1,40734
814,857,2,21525
808,857,3,27137
16,857,15,21424
17,857,16,21392
4,857,16,21873
1,857,16,22530
153,857,16,22856
13,857,17,21848
3,857,17,21149
18,857,18,21092
30,857,18,20893
67,857,18,22579
20,857,19,21415
814,857,19,24150
5,857,21,22226
811,857,22,22144
39,857,22,24046
816,857,22,22687
1,857,24,27193
817,857,25,25074
15,857,27,22894
13,857,30,14919
13,857,31,27619
817,857,32,42529
808,857,33,22519
815,857,34,24789
16,857,35,21977
22,857,35,22339
17,857,37,21240
4,857,39,21755
814,857,39,20984
5,857,41,22001
3,857,45,22978
1,857,45,22172
18,857,46,21838
153,857,46,23084
20,857,47,21449
30,857,50,21482
39,857,50,23605
811,857,56,21723
816,857,55,22472
15,857,54,24150
817,857,56,28474
811,858,1,20882
815,858,2,24654
155,858,5,19833
13,858,15,20471
153,858,15,43574
1,858,16,19439
4,858,16,20211
18,858,16,20908
16,858,16,20356
30,858,16,19660
5,858,16,21146
17,858,17,25182
3,858,17,19785
15,858,17,20824
808,858,18,20738
22,858,18,24219
817,858,18,21693
811,858,20,20330
24,858,24,21247
813,858,25,20201
10,858,25,21792
814,858,27,20216
815,858,27,19979
813,858,30,12897
155,858,33,23108
22,858,34,20534
