"driverId","raceId","grid","results_position","positionText","positionOrder","results_points","results_laps","fastestLap","rank","race_ms","results_fastestlaptime","fastestLapSpeed","statusId","status"
2,22,9,"5","5",5,"4",58,"20","5","5248192","01:27.2","220.328",1,"Finished"
4,22,7,"6","6",6,"3",58,"57","6","5263175","01:27.3","220.174",1,"Finished"
17,22,6,"7","7",7,"2",58,"14","7","5273680","01:27.6","219.294",1,"Finished"
3,22,11,"8","8",8,"1",58,"55","9","5280857","01:27.8","218.882",1,"Finished"
14,22,10,"9","9",9,"0",58,"41","12","5284721","01:28.0","218.457",1,"Finished"
15,22,8,"10","10",10,"0",58,"52","11","5285795","01:27.9","218.556",1,"Finished"
37,179,19,"11","11",11,"0",63,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
68,179,20,"12","12",12,"0",62,NULL,NULL,NULL,NULL,NULL,13,">+1 Laps"
48,180,22,"8","8",8,"0",68,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
44,180,15,"9","9",9,"0",68,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
69,180,21,"10","10",10,"0",67,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
49,180,6,"11","11",11,"0",65,NULL,NULL,NULL,NULL,NULL,23,"Mechanical"
77,220,18,"10","10",10,"0",70,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
79,220,19,"11","11",11,"0",69,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
48,189,19,"9","9",9,"0",55,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
70,189,16,"10","10",10,"0",55,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
1,23,3,"1","1",1,"10",76,"71","6","7242742","01:18.5","153.152",1,"Finished"
9,23,5,"2","2",2,"8",76,"75","5","7245806","01:17.9","154.286",1,"Finished"
13,23,1,"3","3",3,"6",76,"76","4","7247553","01:17.9","154.379",1,"Finished"
17,23,9,"4","4",4,"5",76,"74","8","7262037","01:19.0","152.133",1,"Finished"
20,23,19,"5","5",5,"4",76,"74","7","7267399","01:18.8","152.614",1,"Finished"
22,23,14,"6","6",6,"3",76,"75","9","7271150","01:19.6","151.104",1,"Finished"
6,23,13,"7","7",7,"2",76,"75","13","7272922","01:19.9","150.469",1,"Finished"
5,23,4,"8","8",8,"1",76,"74","2","7275933","01:17.3","155.586",1,"Finished"
8,23,2,"9","9",9,"0",76,"74","1","7276534","01:16.7","156.789",1,"Finished"
21,189,11,"11","11",11,"0",52,NULL,NULL,NULL,NULL,NULL,14,">+1 Laps"
73,193,21,"14","14",14,"0",68,NULL,NULL,NULL,NULL,NULL,14,">+1 Laps"
44,193,15,"15","15",15,"0",65,NULL,NULL,NULL,NULL,NULL,5,"Mechanical"
55,196,11,"12","12",12,"0",72,NULL,NULL,NULL,NULL,NULL,6,"Mechanical"
100,293,13,"9","9",9,"0",58,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
88,293,11,"10","10",10,"0",58,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
109,293,16,"11","11",11,"0",57,NULL,NULL,NULL,NULL,NULL,5,"Mechanical"
50,174,15,"10","10",10,"0",55,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
55,174,18,"11","11",11,"0",55,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
70,178,11,"8","8",8,"0",76,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
22,178,5,"9","9",9,"0",71,NULL,NULL,NULL,NULL,NULL,20,"Accident"
9,24,2,"1","1",1,"10",70,"47","4","5784227","01:17.5","202.473",1,"Finished"
2,24,8,"2","2",2,"8",70,"25","2","5800722","01:17.4","202.758",1,"Finished"
14,24,13,"3","3",3,"6",70,"36","7","5807579","01:18.1","201.057",1,"Finished"
10,24,11,"4","4",4,"5",70,"31","17","5826854","01:19.1","198.51",1,"Finished"
13,24,6,"5","5",5,"4",70,"11","6","5828161","01:18.0","201.261",1,"Finished"
15,24,14,"6","6",6,"3",70,"38","15","5832002","01:18.9","199.056",1,"Finished"
22,24,9,"7","7",7,"2",70,"35","10","5837824","01:18.3","200.503",1,"Finished"
20,24,19,"8","8",8,"1",70,"33","12","5838347","01:18.5","199.913",1,"Finished"
5,24,7,"9","9",9,"0",70,"62","11","5838660","01:18.5","200.091",1,"Finished"
3,24,5,"10","10",10,"0",70,"14","5","5838976","01:18.0","201.336",1,"Finished"
18,24,20,"11","11",11,"0",70,"58","19","5851767","01:19.4","197.847",1,"Finished"
17,24,10,"12","12",12,"0",70,"51","8","5855526","01:18.2","200.759",1,"Finished"
15,179,9,"6","6",6,"1",64,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
71,179,11,"7","7",7,"0",64,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
63,179,16,"8","8",8,"0",64,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
21,179,13,"9","9",9,"0",64,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
25,179,18,"10","10",10,"0",64,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
49,181,5,"1","1",1,"10",72,NULL,NULL,"7104343",NULL,NULL,1,"Finished"
337,621,23,"14","14",14,"0",76,NULL,NULL,NULL,NULL,NULL,13,">+1 Laps"
278,621,13,"15","15",15,"0",76,NULL,NULL,NULL,NULL,NULL,13,">+1 Laps"
13,25,2,"1","1",1,"10",70,"20","2","5510245","01:16.7","206.956",1,"Finished"
8,25,1,"2","2",2,"8",70,"16","1","5528229","01:16.6","207.224",1,"Finished"
15,25,4,"3","3",3,"6",70,"12","7","5538495","01:17.6","204.721",1,"Finished"
5,25,10,"4","4",4,"5",70,"46","3","5539174","01:17.1","205.87",1,"Finished"
9,25,5,"5","5",5,"4",70,"16","4","5540757","01:17.2","205.768",1,"Finished"
17,25,6,"6","6",6,"3",70,"22","6","5550549","01:17.5","204.879",1,"Finished"
12,25,9,"7","7",7,"2",70,"24","10","5551278","01:17.8","204.218",1,"Finished"
