driverId,raceId,points,position,wins
21,35,0,19,0
22,35,11,14,0
19,35,0,22,0
11,35,0,21,0
13,35,97,2,6
10,35,25,10,0
16,35,0,20,0
20,35,35,8,1
16,36,0,17,0
19,36,0,16,0
18,36,0,15,0
24,36,0,14,0
17,36,0,13,0
11,36,0,12,0
22,36,0,11,0
5,36,0,10,0
15,36,0,9,0
23,36,1,8,0
3,36,2,7,0
13,36,3,6,0
21,36,4,5,0
9,37,0,20,0
26,37,0,17,0
25,37,0,11,0
16,37,0,19,0
19,37,0,18,0
18,37,0,15,0
24,37,0,16,0
17,37,0,12,0
11,37,0,14,0
22,37,0,13,0
5,37,1,9,0
15,37,2,7,0
23,37,1,10,0
13,37,7,6,0
27,38,0,18,0
9,38,3,8,0
26,38,0,19,0
25,38,0,12,0
16,38,0,20,0
19,38,0,21,0
18,38,0,16,0
24,38,0,17,0
17,38,0,13,0
11,38,0,15,0
22,38,0,14,0
5,38,1,10,0
15,38,4,7,0
23,38,1,11,0
3,38,2,9,0
13,38,17,4,1
21,38,8,6,0
2,38,15,5,0
1,38,22,3,0
4,38,22,1,1
8,38,22,2,1
14,39,4,9,0
27,39,0,20,0
9,39,8,6,0
26,39,0,22,0
25,39,0,14,0
16,39,0,19,0
19,39,0,17,0
18,39,0,18,0
24,39,0,21,0
17,39,0,16,0
11,39,1,12,0
22,39,0,15,0
5,39,3,11,0
15,39,4,10,0
23,39,1,13,0
3,39,5,8,0
21,39,8,7,0
14,40,4,9,0
27,40,0,21,0
9,40,12,7,0
26,40,0,15,0
25,40,2,12,0
16,40,0,20,0
19,40,0,19,0
18,40,0,18,0
24,40,0,22,0
17,40,0,17,0
11,40,1,13,0
22,40,0,16,0
5,40,3,11,0
15,40,4,10,0
23,40,1,14,0
3,40,5,8,0
21,40,13,6,0
14,41,4,11,0
27,41,0,21,0
9,41,12,7,0
26,41,0,16,0
25,41,8,8,0
16,41,0,20,0
19,41,0,18,0
18,41,0,19,0
24,41,0,22,0
11,41,4,12,0
5,41,8,9,0
23,41,2,14,0
3,41,5,10,0
13,41,33,3,2
2,41,26,5,0
4,41,40,2,2
20,42,1,16,0
14,42,4,12,0
27,42,0,22,0
9,42,12,7,0
26,42,0,17,0
25,42,8,9,0
16,42,0,21,0
19,42,0,19,0
18,42,0,20,0
24,42,0,23,0
11,42,4,13,0
5,42,12,8,0
23,42,2,15,0
3,42,5,11,0
13,42,39,3,2
2,42,26,5,0
4,42,48,2,2
20,43,1,17,0
14,43,4,12,0
27,43,0,22,0
9,43,17,6,0
26,43,0,18,0
25,43,8,9,0
16,43,0,21,0
19,43,0,20,0
18,43,1,16,0
24,43,0,23,0
17,43,2,14,0
11,43,4,13,0
5,43,12,8,0
23,43,2,15,0
3,43,5,11,0
13,43,47,3,2
2,43,30,5,0
4,43,50,2,2
20,44,1,17,0
14,44,4,12,0
27,44,0,22,0
9,44,22,6,0
26,44,0,19,0
25,44,8,9,0
16,44,0,21,0
19,44,0,20,0
18,44,1,16,0
24,44,0,23,0
17,44,2,14,0
11,44,4,13,0
5,44,14,8,0
23,44,2,15,0
3,44,5,11,0
21,44,17,7,0
4,44,58,2,2
20,45,1,17,0
14,45,8,11,0
