driverId,raceId,position,q1,q2,q3
24,38,18,01:34.0,\N,\N
26,38,19,01:34.3,\N,\N
16,38,20,01:35.3,\N,\N
14,38,21,01:35.3,\N,\N
27,38,22,01:35.5,\N,\N
13,39,1,01:21.4,01:20.6,01:21.4
4,39,2,01:21.6,01:20.8,01:21.5
8,39,3,01:21.8,01:20.7,01:21.7
1,39,4,01:21.1,01:20.7,01:21.8
9,39,5,01:21.9,01:21.4,01:22.3
15,39,6,01:22.5,01:21.6,01:22.3
2,39,7,01:21.6,01:21.1,01:22.4
5,39,8,01:21.8,01:21.6,01:22.6
14,39,9,01:22.5,01:21.5,01:22.7
21,39,10,01:22.1,01:21.7,01:22.9
3,39,11,01:21.9,01:22.0,\N
22,39,12,01:22.5,01:22.1,\N
11,39,13,01:22.1,01:22.1,\N
18,39,14,01:22.5,01:22.1,\N
19,39,15,01:22.3,\N,\N
24,39,16,01:22.5,\N,\N
23,39,17,01:22.7,\N,\N
25,39,18,01:22.8,\N,\N
17,39,19,01:23.4,\N,\N
16,39,20,01:23.8,\N,\N
27,39,21,01:24.0,\N,\N
26,39,22,\N,\N,\N
4,40,1,01:16.1,01:15.4,01:15.7
1,40,2,01:15.7,01:15.5,01:15.9
13,40,3,01:16.8,01:16.0,01:16.0
21,40,4,01:17.6,01:16.1,01:16.3
3,40,5,01:16.9,01:16.1,01:16.4
17,40,6,01:17.8,01:16.4,01:16.8
2,40,7,01:17.4,01:15.7,01:16.8
9,40,8,01:17.6,01:15.6,01:17.0
22,40,9,01:17.2,01:16.5,01:17.5
18,40,10,01:17.3,01:16.5,01:17.9
25,40,11,01:17.9,01:16.7,\N
24,40,12,01:16.7,01:16.7,\N
14,40,13,01:17.2,01:16.3,\N
15,40,14,01:17.7,01:17.0,\N
5,40,15,01:17.8,01:17.1,\N
8,40,16,01:16.3,\N,\N
19,40,17,01:18.3,\N,\N
26,40,18,01:18.4,\N,\N
16,40,19,01:18.4,\N,\N
23,40,20,01:18.5,\N,\N
11,40,21,01:18.6,\N,\N
27,40,22,\N,\N,\N
1,41,1,01:16.6,01:15.5,01:15.7
4,41,2,01:16.6,01:15.5,01:16.2
2,41,3,01:17.0,01:16.0,01:16.3
8,41,4,01:16.5,01:16.6,01:16.4
13,41,5,01:16.8,01:16.1,01:16.6
17,41,6,01:17.3,01:16.3,01:16.9
3,41,7,01:17.0,01:16.2,01:16.9
9,41,8,01:17.3,01:16.4,01:17.0
21,41,9,01:16.8,01:16.3,01:17.2
15,41,10,01:17.3,01:16.6,01:17.7
11,41,11,01:17.5,01:16.7,\N
24,41,12,01:17.5,01:16.8,\N
22,41,13,01:17.0,01:17.1,\N
14,41,14,01:17.4,01:17.3,\N
18,41,15,01:17.5,01:17.5,\N
26,41,16,01:17.4,01:17.6,\N
19,41,17,01:17.5,\N,\N
23,41,18,01:17.6,\N,\N
25,41,19,01:18.1,\N,\N
16,41,20,01:18.5,\N,\N
27,41,21,01:19.2,\N,\N
5,41,22,01:17.8,\N,\N
1,42,1,01:12.6,01:12.1,01:12.3
4,42,2,01:12.4,01:11.9,01:12.5
13,42,3,01:12.7,01:12.2,01:12.7
8,42,4,01:12.7,01:12.1,01:12.8
2,42,5,01:12.5,01:12.2,01:12.8
5,42,6,01:13.0,01:12.6,01:13.3
20,42,7,01:12.7,01:12.6,01:13.5
15,42,8,01:13.2,01:12.8,01:13.8
17,42,9,01:13.4,01:12.8,01:13.9
21,42,10,01:13.2,01:12.6,01:14.0
14,42,11,01:13.4,01:12.9,\N
23,42,12,01:12.9,01:12.9,\N
18,42,13,01:13.3,01:13.0,\N
3,42,14,01:13.1,01:13.1,\N
22,42,15,01:13.2,01:13.2,\N
19,42,16,01:13.2,01:13.3,\N
25,42,17,01:13.4,\N,\N
11,42,18,01:13.5,\N,\N
24,42,19,01:13.5,\N,\N
26,42,20,01:13.7,\N,\N
16,42,21,01:14.1,\N,\N
27,42,22,01:14.6,\N,\N
13,43,1,01:15.3,01:14.8,01:15.0
1,43,2,01:14.8,01:14.8,01:15.1
8,43,3,01:14.9,01:14.8,01:15.3
9,43,4,01:15.8,01:15.1,01:15.5
21,43,5,01:16.0,01:15.2,01:15.7
5,43,6,01:15.5,01:15.3,01:15.8
2,43,7,01:15.8,01:15.1,01:15.9
15,43,8,01:16.1,01:15.4,01:15.9
3,43,9,01:16.1,01:15.3,01:16.3
4,43,10,01:15.3,01:15.1,\N
23,43,11,01:15.8,01:15.5,\N
18,43,12,01:16.1,01:15.6,\N
22,43,13,01:16.1,01:15.8,\N
17,43,14,01:15.7,01:15.8,\N
26,43,15,01:16.0,01:16.0,\N
14,43,16,01:15.9,\N,\N
24,43,17,01:16.1,\N,\N
25,43,18,01:16.2,\N,\N
19,43,19,01:16.4,\N,\N
27,43,20,01:17.8,\N,\N
16,43,21,01:17.9,\N,\N
11,43,22,01:16.2,\N,\N
1,44,1,01:19.9,01:19.4,01:20.0
8,44,2,01:19.8,01:19.3,01:20.1
4,44,3,01:19.3,01:19.2,01:20.1
13,44,4,01:19.8,01:19.4,01:20.3
9,44,5,01:20.3,01:20.1,01:20.4
23,44,6,01:20.5,01:19.9,01:20.5
5,44,7,01:20.6,01:20.1,01:20.7
21,44,8,01:20.8,01:20.0,01:20.8
